	Cs-137	Cs-137-Al
685.119272952	3517	3587
686.24052695	3528	3438
687.362331072	3419	3346
688.484685318	3219	3191
689.607589688	3213	3142
690.731044182	3061	3082
691.8550488	2892	3013
692.979603542	2826	2972
694.104708408	2913	2850
695.230363398	2703	2705
696.356568512	2687	2513
697.48332375	2476	2512
698.610629112	2319	2417
699.738484598	2305	2225
700.866890208	2247	2247
701.995845942	2121	2143
703.1253518	2076	2082
704.255407782	2110	1963
705.386013888	1936	1908
706.517170118	1812	1841
707.648876472	1745	1790
708.78113295	1663	1699
709.913939552	1634	1648
711.047296278	1509	1604
712.181203128	1498	1494
713.315660102	1427	1415
714.4506672	1339	1309
715.586224422	1328	1342
716.722331768	1263	1239
717.858989238	1173	1188
718.996196832	1151	1125
720.13395455	1134	1093
721.272262392	1120	1112
722.411120358	992	1017
723.550528448	986	973
724.690486662	971	923
725.830995	857	913
726.972053462	852	873
728.113662048	813	789
729.255820758	833	758
730.398529592	731	789
731.54178855	692	747
732.685597632	648	695
733.829956838	646	675
734.974866168	670	639
736.120325622	619	622
737.2663352	578	617
738.412894902	571	565
739.560004728	539	560
740.707664678	543	492
741.855874752	529	522
743.00463495	497	485
744.153945272	492	473
745.303805718	471	449
746.454216288	407	442
747.605176982	452	429
748.7566878	394	399
749.908748742	402	385
751.061359808	387	363
752.214520998	375	362
753.368232312	350	337
754.52249375	346	311
755.677305312	346	333
756.832666998	308	363
757.988578808	332	297
759.145040742	248	314
760.3020528	292	297
761.459614982	297	316
762.617727288	280	272
763.776389718	269	275
764.935602272	293	271
766.09536495	282	279
767.255677752	238	267
768.416540678	240	227
769.577953728	250	247
770.739916902	249	216
771.9024302	227	222
773.065493622	235	214
774.229107168	206	224
775.393270838	230	233
776.557984632	240	227
777.72324855	205	186
778.889062592	177	201
780.055426758	216	198
781.222341048	197	207
782.389805462	178	184
783.55782	204	197
784.726384662	215	204
785.895499448	193	194
787.065164358	200	206
788.235379392	192	182
789.40614455	187	169
790.577459832	177	184
791.749325238	169	168
792.921740768	171	181
794.094706422	171	194
795.2682222	167	186
796.442288102	169	180
797.616904128	160	197
798.792070278	159	138
799.967786552	167	154
801.14405295	159	154
802.320869472	140	147
803.498236118	134	164
804.676152888	155	177
805.854619782	168	145
807.0336368	161	150
808.213203942	129	167
809.393321208	147	163
810.573988598	144	142
811.755206112	160	157
812.93697375	146	131
814.119291512	147	132
815.302159398	151	155
816.485577408	136	136
817.669545542	152	150
818.8540638	149	136
820.039132182	149	154
821.224750688	163	159
822.410919318	149	140
823.597638072	159	148
824.78490695	144	141
825.972725952	179	139
827.161095078	132	136
828.350014328	142	125
829.539483702	153	160
830.7295032	147	165
831.920072822	154	151
833.111192568	163	157
834.302862438	138	148
835.495082432	141	150
836.68785255	128	133
837.881172792	131	147
839.075043158	149	151
840.269463648	123	152
841.464434262	142	142
